estimate,value,method,samples,i
ψ,1.5101211103790007,plugin,1668,1
σ2boot,NaN,plugin,1668,1
ψ,1.4520467303829447,ipw,1668,1
σ2,0.0006686344621965901,ipw,1668,1
σ2net,0.0010713991722331997,ipw,1668,1
σ2boot,NaN,ipw,1668,1
stabilized,false,ipw,1668,1
ψ,1.4750993603157605,sipw,1668,1
σ2,0.0004434321494913579,sipw,1668,1
σ2net,0.0006782469433849487,sipw,1668,1
σ2boot,NaN,sipw,1668,1
stabilized,true,sipw,1668,1
ψ,1.5042325149896247,onestep,1668,1
σ2,0.00042299070759562737,onestep,1668,1
σ2net,0.0006281684295229222,onestep,1668,1
σ2boot,NaN,onestep,1668,1
ψ,1.5082086478574557,tmle,1668,1
σ2,0.00043517804910431695,tmle,1668,1
σ2net,0.0006384025042689759,tmle,1668,1
σ2boot,NaN,tmle,1668,1
ψ,1.487347637639451,plugin_iid,1668,1
σ2boot,NaN,plugin_iid,1668,1
ψ,1.471728238885702,ipw_iid,1668,1
σ2,0.0007333669523997336,ipw_iid,1668,1
σ2net,0.0007333669523997337,ipw_iid,1668,1
σ2boot,NaN,ipw_iid,1668,1
stabilized,false,ipw_iid,1668,1
ψ,1.4710710819328556,sipw_iid,1668,1
σ2,0.00041448026551795403,sipw_iid,1668,1
σ2net,0.0004144802655179543,sipw_iid,1668,1
σ2boot,NaN,sipw_iid,1668,1
stabilized,true,sipw_iid,1668,1
ψ,1.494995085443454,onestep_iid,1668,1
σ2,0.0004174031466773367,onestep_iid,1668,1
σ2net,0.000417403146677337,onestep_iid,1668,1
σ2boot,NaN,onestep_iid,1668,1
ψ,1.4916580674078026,tmle_iid,1668,1
σ2,0.00040673443562150194,tmle_iid,1668,1
σ2net,0.00040673443562150237,tmle_iid,1668,1
σ2boot,NaN,tmle_iid,1668,1
ψ,1.4871861537532791,ols,1668,1
σ2,0.0016591285448045495,ols,1668,1
σ2net,0.0016591285448045495,ols,1668,1
ψ,1.470716610545213,plugin,1668,2
σ2boot,NaN,plugin,1668,2
ψ,1.4256446358539026,ipw,1668,2
σ2,0.0006949522828278978,ipw,1668,2
σ2net,0.0007817182003603932,ipw,1668,2
σ2boot,NaN,ipw,1668,2
stabilized,false,ipw,1668,2
ψ,1.4264168242860067,sipw,1668,2
σ2,0.000414041432521577,sipw,1668,2
σ2net,0.0005594626691575696,sipw,1668,2
σ2boot,NaN,sipw,1668,2
stabilized,true,sipw,1668,2
ψ,1.4755882390959123,onestep,1668,2
σ2,0.00042206956275644655,onestep,1668,2
σ2net,0.0005386989071617862,onestep,1668,2
σ2boot,NaN,onestep,1668,2
ψ,1.4693929027564487,tmle,1668,2
σ2,0.0004197833012240537,tmle,1668,2
σ2net,0.000532434754646171,tmle,1668,2
σ2boot,NaN,tmle,1668,2
ψ,1.448841581046395,plugin_iid,1668,2
σ2boot,NaN,plugin_iid,1668,2
ψ,1.4286318488861416,ipw_iid,1668,2
σ2,0.0006886497668447132,ipw_iid,1668,2
σ2net,0.0006886497668447148,ipw_iid,1668,2
σ2boot,NaN,ipw_iid,1668,2
stabilized,false,ipw_iid,1668,2
ψ,1.4228976360800871,sipw_iid,1668,2
σ2,0.0003964481334438753,sipw_iid,1668,2
