estimate,value,method,samples,i
ψ,0.9060483433113826,plugin,100,1
σ2boot,NaN,plugin,100,1
ψ,0.8217181901284273,ipw,100,1
σ2,0.0016275726806529028,ipw,100,1
σ2net,0.004768895504602267,ipw,100,1
σ2boot,NaN,ipw,100,1
stabilized,false,ipw,100,1
ψ,0.8217181804946927,sipw,100,1
σ2,0.0016275728484170023,sipw,100,1
σ2net,0.004768894370758887,sipw,100,1
σ2boot,NaN,sipw,100,1
stabilized,true,sipw,100,1
ψ,0.9060483362167004,onestep,100,1
σ2,0.0016215651061221653,onestep,100,1
σ2net,0.004946663536623388,onestep,100,1
σ2boot,NaN,onestep,100,1
ψ,0.9060483311384975,tmle,100,1
σ2,0.0016215651307325233,tmle,100,1
σ2net,0.004946663580474888,tmle,100,1
σ2boot,NaN,tmle,100,1
ψ,0.8309818366391802,plugin_iid,100,1
σ2boot,NaN,plugin_iid,100,1
ψ,0.8217182931852561,ipw_iid,100,1
σ2,0.0016275759273963349,ipw_iid,100,1
σ2net,0.0016275759273963349,ipw_iid,100,1
σ2boot,NaN,ipw_iid,100,1
stabilized,false,ipw_iid,100,1
ψ,0.82171818233605,sipw_iid,100,1
σ2,0.0016275731918772827,sipw_iid,100,1
σ2net,0.0016275731918772827,sipw_iid,100,1
σ2boot,NaN,sipw_iid,100,1
stabilized,true,sipw_iid,100,1
ψ,0.8309818386680806,onestep_iid,100,1
σ2,0.0016275733191399907,onestep_iid,100,1
σ2net,0.0016275733191399905,onestep_iid,100,1
σ2boot,NaN,onestep_iid,100,1
ψ,0.8309818283468553,tmle_iid,100,1
σ2,0.0016275733835309876,tmle_iid,100,1
σ2net,0.0016275733835309878,tmle_iid,100,1
σ2boot,NaN,tmle_iid,100,1
ψ,0.29599807763704056,ols,100,1
σ2,0.018716054181949757,ols,100,1
σ2net,0.018716054181949757,ols,100,1
ψ,0.9358998673175762,plugin,100,2
σ2boot,NaN,plugin,100,2
ψ,0.8497817242299648,ipw,100,2
σ2,0.001457486473613164,ipw,100,2
σ2net,0.005030395409592653,ipw,100,2
σ2boot,NaN,ipw,100,2
stabilized,false,ipw,100,2
ψ,0.8497817588321256,sipw,100,2
σ2,0.0014574857064456263,sipw,100,2
σ2net,0.005030391891376469,sipw,100,2
σ2boot,NaN,sipw,100,2
stabilized,true,sipw,100,2
ψ,0.9358998600861633,onestep,100,2
σ2,0.0014308646606449342,onestep,100,2
σ2net,0.004719184317088897,onestep,100,2
σ2boot,NaN,onestep,100,2
ψ,0.934878303312765,tmle,100,2
σ2,0.001430875121775971,tmle,100,2
σ2net,0.004711671702859487,tmle,100,2
σ2boot,NaN,tmle,100,2
ψ,0.852595086299809,plugin_iid,100,2
σ2boot,NaN,plugin_iid,100,2
ψ,0.849781689694563,ipw_iid,100,2
σ2,0.001457486076770525,ipw_iid,100,2
