estimate,value,method,samples,i
ψ,0.9060483433113826,plugin,100,1
σ2boot,NaN,plugin,100,1
ψ,0.8217181944534644,ipw,100,1
σ2,0.0016275733504805775,ipw,100,1
σ2net,0.004768896358750763,ipw,100,1
σ2boot,NaN,ipw,100,1
stabilized,false,ipw,100,1
ψ,0.8217182205119409,sipw,100,1
σ2,0.001627572917902174,sipw,100,1
σ2net,0.004768893963767448,sipw,100,1
σ2boot,NaN,sipw,100,1
stabilized,true,sipw,100,1
ψ,0.9060483629688372,onestep,100,1
σ2,0.001621564793660797,onestep,100,1
σ2net,0.004946661385639162,onestep,100,1
σ2boot,NaN,onestep,100,1
ψ,0.9060483404046183,tmle,100,1
σ2,0.0016215648642059132,tmle,100,1
σ2net,0.004946662433526785,tmle,100,1
σ2boot,NaN,tmle,100,1
ψ,0.8309818366391802,plugin_iid,100,1
σ2boot,NaN,plugin_iid,100,1
ψ,0.821718169861307,ipw_iid,100,1
σ2,0.0016275725983193096,ipw_iid,100,1
σ2net,0.0016275725983193096,ipw_iid,100,1
σ2boot,NaN,ipw_iid,100,1
stabilized,false,ipw_iid,100,1
ψ,0.821718175731062,sipw_iid,100,1
σ2,0.001627572811338825,sipw_iid,100,1
σ2net,0.001627572811338825,sipw_iid,100,1
σ2boot,NaN,sipw_iid,100,1
stabilized,true,sipw_iid,100,1
ψ,0.8309818283378939,onestep_iid,100,1
σ2,0.0016275732777676834,onestep_iid,100,1
σ2net,0.001627573277767684,onestep_iid,100,1
σ2boot,NaN,onestep_iid,100,1
ψ,0.8309818172268816,tmle_iid,100,1
σ2,0.0016275733274606185,tmle_iid,100,1
σ2net,0.0016275733274606183,tmle_iid,100,1
σ2boot,NaN,tmle_iid,100,1
ψ,0.29599807763704056,ols,100,1
σ2,0.018716054181949757,ols,100,1
σ2net,0.018716054181949757,ols,100,1
ψ,0.9358998673175762,plugin,100,2
σ2boot,NaN,plugin,100,2
ψ,0.849781768758557,ipw,100,2
σ2,0.0014574876980901,ipw,100,2
σ2net,0.005030395884183452,ipw,100,2
σ2boot,NaN,ipw,100,2
stabilized,false,ipw,100,2
ψ,0.8497817192665302,sipw,100,2
σ2,0.0014574852472527668,sipw,100,2
σ2net,0.00503039237737389,sipw,100,2
σ2boot,NaN,sipw,100,2
stabilized,true,sipw,100,2
ψ,0.9358998559476691,onestep,100,2
σ2,0.0014308647238468533,onestep,100,2
σ2net,0.004719184704468647,onestep,100,2
σ2boot,NaN,onestep,100,2
ψ,0.9348783079638078,tmle,100,2
σ2,0.0014308751593180141,tmle,100,2
σ2net,0.004711671586785837,tmle,100,2
σ2boot,NaN,tmle,100,2
ψ,0.852595086299809,plugin_iid,100,2
σ2boot,NaN,plugin_iid,100,2
ψ,0.8497815738133889,ipw_iid,100,2
σ2,0.0014574835599826012,ipw_iid,100,2
