estimate,value,method,samples,i
ψ,0.9060483433113826,plugin,100,1
σ2boot,NaN,plugin,100,1
ψ,0.8217181811279995,ipw,100,1
σ2,0.0016275723441845943,ipw,100,1
σ2net,0.004768895993875907,ipw,100,1
σ2boot,NaN,ipw,100,1
stabilized,false,ipw,100,1
ψ,0.8217181976174591,sipw,100,1
σ2,0.0016275732083321215,sipw,100,1
σ2net,0.004768894186445807,sipw,100,1
σ2boot,NaN,sipw,100,1
stabilized,true,sipw,100,1
ψ,0.9060483326019967,onestep,100,1
σ2,0.0016215650833239605,onestep,100,1
σ2net,0.004946663504689245,onestep,100,1
σ2boot,NaN,onestep,100,1
ψ,0.9060483544767101,tmle,100,1
σ2,0.0016215649034562907,tmle,100,1
σ2net,0.004946662025204962,tmle,100,1
σ2boot,NaN,tmle,100,1
ψ,0.8309818366391802,plugin_iid,100,1
σ2boot,NaN,plugin_iid,100,1
ψ,0.8217181961017228,ipw_iid,100,1
σ2,0.0016275734547412223,ipw_iid,100,1
σ2net,0.0016275734547412223,ipw_iid,100,1
σ2boot,NaN,ipw_iid,100,1
stabilized,false,ipw_iid,100,1
ψ,0.8217181933039757,sipw_iid,100,1
σ2,0.0016275733684367633,sipw_iid,100,1
σ2net,0.001627573368436764,sipw_iid,100,1
σ2boot,NaN,sipw_iid,100,1
stabilized,true,sipw_iid,100,1
ψ,0.8309818482399678,onestep_iid,100,1
σ2,0.0016275734576086734,onestep_iid,100,1
σ2net,0.0016275734576086727,onestep_iid,100,1
σ2boot,NaN,onestep_iid,100,1
ψ,0.8309818324253017,tmle_iid,100,1
σ2,0.0016275733764622388,tmle_iid,100,1
σ2net,0.0016275733764622388,tmle_iid,100,1
σ2boot,NaN,tmle_iid,100,1
ψ,0.29599807763704056,ols,100,1
σ2,0.018716054181949757,ols,100,1
σ2net,0.018716054181949757,ols,100,1
ψ,0.9358998673175762,plugin,100,2
σ2boot,NaN,plugin,100,2
ψ,0.8497817383595564,ipw,100,2
σ2,0.001457486820145757,ipw,100,2
σ2net,0.00503039897626806,ipw,100,2
σ2boot,NaN,ipw,100,2
stabilized,false,ipw,100,2
ψ,0.8497817147075739,sipw,100,2
σ2,0.0014574856635730007,sipw,100,2
σ2net,0.005030392846956566,sipw,100,2
σ2boot,NaN,sipw,100,2
stabilized,true,sipw,100,2
ψ,0.9358998596682409,onestep,100,2
σ2,0.0014308646174215774,onestep,100,2
σ2net,0.00471918440470613,onestep,100,2
σ2boot,NaN,onestep,100,2
ψ,0.9348783030784793,tmle,100,2
σ2,0.0014308750770282645,tmle,100,2
σ2net,0.004711671238054581,tmle,100,2
σ2boot,NaN,tmle,100,2
ψ,0.852595086299809,plugin_iid,100,2
σ2boot,NaN,plugin_iid,100,2
ψ,0.8497816843766492,ipw_iid,100,2
σ2,0.0014574865145808124,ipw_iid,100,2
