estimate,value,method,samples,i
ψ,3.525539028313915,plugin,100,1
σ2boot,NaN,plugin,100,1
ψ,3.436174773796141,ipw,100,1
σ2,0.0013559431989274922,ipw,100,1
σ2net,0.004119925232380677,ipw,100,1
σ2boot,NaN,ipw,100,1
stabilized,false,ipw,100,1
ψ,3.43617483309997,sipw,100,1
σ2,0.0013559387967698982,sipw,100,1
σ2net,0.0041198916917435605,sipw,100,1
σ2boot,NaN,sipw,100,1
stabilized,true,sipw,100,1
ψ,NaN,onestep,100,1
σ2,NaN,onestep,100,1
σ2net,NaN,onestep,100,1
σ2boot,NaN,onestep,100,1
ψ,3.5255390344862634,tmle,100,1
σ2,0.0013210859102067746,tmle,100,1
σ2net,0.003667440884734496,tmle,100,1
σ2boot,NaN,tmle,100,1
ψ,3.4440611096395797,plugin_iid,100,1
σ2boot,NaN,plugin_iid,100,1
ψ,3.4361746520233334,ipw_iid,100,1
σ2,0.001355933062092613,ipw_iid,100,1
σ2net,0.0013559330620926129,ipw_iid,100,1
σ2boot,NaN,ipw_iid,100,1
stabilized,false,ipw_iid,100,1
ψ,3.4361747899322945,sipw_iid,100,1
σ2,0.0013559383139188027,sipw_iid,100,1
σ2net,0.0013559383139188023,sipw_iid,100,1
σ2boot,NaN,sipw_iid,100,1
stabilized,true,sipw_iid,100,1
ψ,3.444061120466424,onestep_iid,100,1
σ2,0.0013559378230938207,onestep_iid,100,1
σ2net,0.0013559378230938205,onestep_iid,100,1
σ2boot,NaN,onestep_iid,100,1
ψ,3.444061087642268,tmle_iid,100,1
σ2,0.001355937721263472,tmle_iid,100,1
σ2net,0.0013559377212634725,tmle_iid,100,1
σ2boot,NaN,tmle_iid,100,1
ψ,0.0756468621884417,ols,100,1
σ2,0.02592631289665799,ols,100,1
σ2net,0.02592631289665799,ols,100,1
ψ,3.50345241015537,plugin,100,2
σ2boot,NaN,plugin,100,2
ψ,3.4436344068673055,ipw,100,2
σ2,0.0009017817085665298,ipw,100,2
σ2net,0.0019618781465127,ipw,100,2
σ2boot,NaN,ipw,100,2
stabilized,false,ipw,100,2
ψ,3.443634428409443,sipw,100,2
σ2,0.0009017794404507484,sipw,100,2
σ2net,0.0019618733888531353,sipw,100,2
σ2boot,NaN,sipw,100,2
stabilized,true,sipw,100,2
ψ,3.5034524134960474,onestep,100,2
σ2,0.0008823617340161903,onestep,100,2
σ2net,0.0017365853066876988,onestep,100,2
σ2boot,NaN,onestep,100,2
ψ,3.502338092648848,tmle,100,2
σ2,0.0008823741497750063,tmle,100,2
σ2net,0.0017280280260816752,tmle,100,2
σ2boot,NaN,tmle,100,2
ψ,3.455983317293431,plugin_iid,100,2
σ2boot,NaN,plugin_iid,100,2
ψ,3.4436344065667144,ipw_iid,100,2
σ2,0.0009017816481385308,ipw_iid,100,2
σ2net,0.0009017816481385311,ipw_iid,100,2
σ2boot,NaN,ipw_iid,100,2
stabilized,false,ipw_iid,100,2
ψ,3.4436344049013132,sipw_iid,100,2
σ2,0.0009017797596130114,sipw_iid,100,2
σ2net,0.0009017797596130111,sipw_iid,100,2
σ2boot,NaN,sipw_iid,100,2
