estimate,value,method,samples,i
ψ,3.525539028313915,plugin,100,1
σ2boot,NaN,plugin,100,1
ψ,3.436174656649562,ipw,100,1
σ2,0.0013559337084542732,ipw,100,1
σ2net,0.004119867212510278,ipw,100,1
σ2boot,NaN,ipw,100,1
stabilized,false,ipw,100,1
ψ,3.43617470776106,sipw,100,1
σ2,0.0013559373364662097,sipw,100,1
σ2net,0.004119881336267896,sipw,100,1
σ2boot,NaN,sipw,100,1
stabilized,true,sipw,100,1
ψ,3.525539030213947,onestep,100,1
σ2,0.0013210857249882613,onestep,100,1
σ2net,0.003667439866411633,onestep,100,1
σ2boot,NaN,onestep,100,1
ψ,3.5255390383874525,tmle,100,1
σ2,0.0013210857905015128,tmle,100,1
σ2net,0.003667440083938187,tmle,100,1
σ2boot,NaN,tmle,100,1
ψ,3.4440611096395797,plugin_iid,100,1
σ2boot,NaN,plugin_iid,100,1
ψ,3.4361747713240334,ipw_iid,100,1
σ2,0.0013559425390259844,ipw_iid,100,1
σ2net,0.0013559425390259844,ipw_iid,100,1
σ2boot,NaN,ipw_iid,100,1
stabilized,false,ipw_iid,100,1
ψ,3.436174696343447,sipw_iid,100,1
σ2,0.001355937164501744,sipw_iid,100,1
σ2net,0.0013559371645017438,sipw_iid,100,1
σ2boot,NaN,sipw_iid,100,1
stabilized,true,sipw_iid,100,1
ψ,3.4440611004681525,onestep_iid,100,1
σ2,0.0013559373537956236,onestep_iid,100,1
σ2net,0.0013559373537956234,onestep_iid,100,1
σ2boot,NaN,onestep_iid,100,1
ψ,3.444061191656125,tmle_iid,100,1
σ2,0.001355938169804596,tmle_iid,100,1
σ2net,0.001355938169804596,tmle_iid,100,1
σ2boot,NaN,tmle_iid,100,1
ψ,0.0756468621884417,ols,100,1
σ2,0.02592631289665799,ols,100,1
σ2net,0.02592631289665799,ols,100,1
ψ,3.50345241015537,plugin,100,2
σ2boot,NaN,plugin,100,2
ψ,3.443634393945842,ipw,100,2
σ2,0.0009017809911651877,ipw,100,2
σ2net,0.0019618828011845045,ipw,100,2
σ2boot,NaN,ipw,100,2
stabilized,false,ipw,100,2
ψ,3.4436344044832503,sipw,100,2
σ2,0.000901779763573813,sipw,100,2
σ2net,0.0019618741116049607,sipw,100,2
σ2boot,NaN,sipw,100,2
stabilized,true,sipw,100,2
ψ,3.5034524134605642,onestep,100,2
σ2,0.00088236178617834,onestep,100,2
σ2net,0.0017365857258986488,onestep,100,2
σ2boot,NaN,onestep,100,2
ψ,3.502338091980286,tmle,100,2
σ2,0.0008823741674622748,tmle,100,2
σ2net,0.0017280281807727895,tmle,100,2
σ2boot,NaN,tmle,100,2
ψ,3.455983317293431,plugin_iid,100,2
σ2boot,NaN,plugin_iid,100,2
ψ,3.443634403173391,ipw_iid,100,2
σ2,0.0009017814527879235,ipw_iid,100,2
σ2net,0.0009017814527879235,ipw_iid,100,2
σ2boot,NaN,ipw_iid,100,2
stabilized,false,ipw_iid,100,2
ψ,3.4436344223917392,sipw_iid,100,2
σ2,0.0009017795392458634,sipw_iid,100,2
σ2net,0.0009017795392458639,sipw_iid,100,2
σ2boot,NaN,sipw_iid,100,2
