estimate,value,method,samples,i
ψ,3.525539028313915,plugin,100,1
σ2boot,NaN,plugin,100,1
ψ,3.436174839270446,ipw,100,1
σ2,0.0013559476444792065,ipw,100,1
σ2net,0.004119937816000068,ipw,100,1
σ2boot,NaN,ipw,100,1
stabilized,false,ipw,100,1
ψ,3.4361747095195407,sipw,100,1
σ2,0.0013559384553481666,sipw,100,1
σ2net,0.004119887696560998,sipw,100,1
σ2boot,NaN,sipw,100,1
stabilized,true,sipw,100,1
ψ,3.5255390306753673,onestep,100,1
σ2,0.0013210858634202308,onestep,100,1
σ2net,0.0036674405059802326,onestep,100,1
σ2boot,NaN,onestep,100,1
ψ,3.525539018508562,tmle,100,1
σ2,0.0013210858405056558,tmle,100,1
σ2net,0.0036674412423758932,tmle,100,1
σ2boot,NaN,tmle,100,1
ψ,3.4440611096395797,plugin_iid,100,1
σ2boot,NaN,plugin_iid,100,1
ψ,3.436174800408093,ipw_iid,100,1
σ2,0.0013559446706777703,ipw_iid,100,1
σ2net,0.0013559446706777703,ipw_iid,100,1
σ2boot,NaN,ipw_iid,100,1
stabilized,false,ipw_iid,100,1
ψ,3.4361746618315503,sipw_iid,100,1
σ2,0.001355937561929702,sipw_iid,100,1
σ2net,0.001355937561929702,sipw_iid,100,1
σ2boot,NaN,sipw_iid,100,1
stabilized,true,sipw_iid,100,1
ψ,3.4440611335574203,onestep_iid,100,1
σ2,0.0013559379686137263,onestep_iid,100,1
σ2net,0.0013559379686137265,onestep_iid,100,1
σ2boot,NaN,onestep_iid,100,1
ψ,3.4440611501431744,tmle_iid,100,1
σ2,0.0013559379258291687,tmle_iid,100,1
σ2net,0.0013559379258291685,tmle_iid,100,1
σ2boot,NaN,tmle_iid,100,1
ψ,0.0756468621884417,ols,100,1
σ2,0.02592631289665799,ols,100,1
σ2net,0.02592631289665799,ols,100,1
ψ,3.50345241015537,plugin,100,2
σ2boot,NaN,plugin,100,2
ψ,3.443634403696534,ipw,100,2
σ2,0.0009017815556034146,ipw,100,2
σ2net,0.0019618754029871173,ipw,100,2
σ2boot,NaN,ipw,100,2
stabilized,false,ipw,100,2
ψ,3.443634424814819,sipw,100,2
σ2,0.0009017796131784131,sipw,100,2
σ2net,0.001961873779446322,sipw,100,2
σ2boot,NaN,sipw,100,2
stabilized,true,sipw,100,2
ψ,3.5034524175096537,onestep,100,2
σ2,0.0008823617786962102,onestep,100,2
σ2net,0.001736585464397655,onestep,100,2
σ2boot,NaN,onestep,100,2
ψ,3.5023380895198866,tmle,100,2
σ2,0.0008823741542027737,tmle,100,2
σ2net,0.0017280279564382411,tmle,100,2
σ2boot,NaN,tmle,100,2
ψ,3.455983317293431,plugin_iid,100,2
σ2boot,NaN,plugin_iid,100,2
ψ,3.4436344170903364,ipw_iid,100,2
σ2,0.0009017821644402115,ipw_iid,100,2
σ2net,0.0009017821644402112,ipw_iid,100,2
σ2boot,NaN,ipw_iid,100,2
stabilized,false,ipw_iid,100,2
ψ,3.4436344166678112,sipw_iid,100,2
σ2,0.0009017794419296367,sipw_iid,100,2
σ2net,0.0009017794419296369,sipw_iid,100,2
