estimate,value,method,samples,i
ψ,11.220895195007325,plugin,100,1
σ2boot,NaN,plugin,100,1
ψ,11.06518448099471,ipw,100,1
σ2,0.010222834304981615,ipw,100,1
σ2net,0.043056900601218306,ipw,100,1
σ2boot,NaN,ipw,100,1
stabilized,false,ipw,100,1
ψ,11.065184824788156,sipw,100,1
σ2,0.010222813657719678,sipw,100,1
σ2net,0.04305689681350696,sipw,100,1
σ2boot,NaN,sipw,100,1
stabilized,true,sipw,100,1
ψ,11.220896300399058,onestep,100,1
σ2,0.010224097092270014,onestep,100,1
σ2net,0.040214420764755454,onestep,100,1
σ2boot,NaN,onestep,100,1
ψ,11.220654262885885,tmle,100,1
σ2,0.010224097676886314,tmle,100,1
σ2net,0.04021019947896764,tmle,100,1
σ2boot,NaN,tmle,100,1
ψ,11.09299144339256,plugin_iid,100,1
σ2boot,NaN,plugin_iid,100,1
ψ,11.065184310880213,ipw_iid,100,1
σ2,0.010222785966365755,ipw_iid,100,1
σ2net,0.010222785966365753,ipw_iid,100,1
σ2boot,NaN,ipw_iid,100,1
stabilized,false,ipw_iid,100,1
ψ,11.065184660656898,sipw_iid,100,1
σ2,0.010222806767878402,sipw_iid,100,1
σ2net,0.01022280676787841,sipw_iid,100,1
σ2boot,NaN,sipw_iid,100,1
stabilized,true,sipw_iid,100,1
ψ,11.092991575252706,onestep_iid,100,1
σ2,0.01022279704338896,onestep_iid,100,1
σ2net,0.010222797043388961,onestep_iid,100,1
σ2boot,NaN,onestep_iid,100,1
ψ,11.092991545250761,tmle_iid,100,1
σ2,0.010222797692828802,tmle_iid,100,1
σ2net,0.010222797692828805,tmle_iid,100,1
σ2boot,NaN,tmle_iid,100,1
ψ,-0.10596328563029524,ols,100,1
σ2,0.2661486924360576,ols,100,1
σ2net,0.2661486924360576,ols,100,1
ψ,11.747354621887206,plugin,100,2
σ2boot,NaN,plugin,100,2
ψ,11.425651936623636,ipw,100,2
σ2,0.009849408273158791,ipw,100,2
σ2net,0.047241938170227905,ipw,100,2
σ2boot,NaN,ipw,100,2
stabilized,false,ipw,100,2
ψ,11.425651815179968,sipw,100,2
σ2,0.009849348387577306,sipw,100,2
σ2net,0.04724146610368255,sipw,100,2
σ2boot,NaN,sipw,100,2
stabilized,true,sipw,100,2
ψ,11.747355895800238,onestep,100,2
σ2,0.012052921302901394,onestep,100,2
σ2net,0.06297571472321925,onestep,100,2
σ2boot,NaN,onestep,100,2
ψ,11.747118771947278,tmle,100,2
σ2,0.012052921868045297,tmle,100,2
σ2net,0.06299224316470495,tmle,100,2
σ2boot,NaN,tmle,100,2
ψ,11.458421807667811,plugin_iid,100,2
σ2boot,NaN,plugin_iid,100,2
ψ,11.42565179174219,ipw_iid,100,2
σ2,0.00984937495061212,ipw_iid,100,2
σ2net,0.009849374950612121,ipw_iid,100,2
σ2boot,NaN,ipw_iid,100,2
stabilized,false,ipw_iid,100,2
ψ,11.4256518789967,sipw_iid,100,2
σ2,0.00984935018689321,sipw_iid,100,2
σ2net,0.009849350186893214,sipw_iid,100,2
σ2boot,NaN,sipw_iid,100,2
stabilized,true,sipw_iid,100,2
ψ,11.458421823701858,onestep_iid,100,2
σ2,0.009849348921534874,onestep_iid,100,2
σ2net,0.009849348921534875,onestep_iid,100,2
σ2boot,NaN,onestep_iid,100,2
ψ,11.458421796745565,tmle_iid,100,2
σ2,0.009849348752752504,tmle_iid,100,2
σ2net,0.009849348752752504,tmle_iid,100,2
σ2boot,NaN,tmle_iid,100,2
ψ,0.14929255866461602,ols,100,2
σ2,0.46070139834448337,ols,100,2
σ2net,0.46070139834448337,ols,100,2
ψ,11.440860567092896,plugin,100,3
σ2boot,NaN,plugin,100,3
ψ,11.287468003096853,ipw,100,3
σ2,0.010277474983331961,ipw,100,3
σ2net,0.03690067576670467,ipw,100,3
σ2boot,NaN,ipw,100,3
stabilized,false,ipw,100,3
ψ,11.287468054722194,sipw,100,3
σ2,0.010277385129351226,sipw,100,3
σ2net,0.0369004579277907,sipw,100,3
σ2boot,NaN,sipw,100,3
stabilized,true,sipw,100,3
ψ,11.440861544697045,onestep,100,3
σ2,0.010101945832636499,onestep,100,3
σ2net,0.04115549919356716,onestep,100,3
σ2boot,NaN,onestep,100,3
ψ,11.440861526303106,tmle,100,3
σ2,0.010101945832615387,tmle,100,3
σ2net,0.041155499650437306,tmle,100,3
σ2boot,NaN,tmle,100,3
ψ,11.326400709152221,plugin_iid,100,3
σ2boot,NaN,plugin_iid,100,3
ψ,11.287468027241376,ipw_iid,100,3
σ2,0.010277482943107433,ipw_iid,100,3
σ2net,0.01027748294310743,ipw_iid,100,3
σ2boot,NaN,ipw_iid,100,3
stabilized,false,ipw_iid,100,3
ψ,11.28746779339668,sipw_iid,100,3
σ2,0.010277374811297977,sipw_iid,100,3
σ2net,0.010277374811297979,sipw_iid,100,3
σ2boot,NaN,sipw_iid,100,3
stabilized,true,sipw_iid,100,3
ψ,11.326401667693784,onestep_iid,100,3
σ2,0.009568733829362203,onestep_iid,100,3
σ2net,0.009568733829362203,onestep_iid,100,3
σ2boot,NaN,onestep_iid,100,3
ψ,11.326626191145035,tmle_iid,100,3
σ2,0.009568734336003694,tmle_iid,100,3
σ2net,0.009568734336003694,tmle_iid,100,3
σ2boot,NaN,tmle_iid,100,3
ψ,-0.8958749883799286,ols,100,3
σ2,0.3114154223649235,ols,100,3
σ2net,0.3114154223649235,ols,100,3
ψ,11.160048923492432,plugin,100,4
σ2boot,NaN,plugin,100,4
ψ,10.944945621347197,ipw,100,4
σ2,0.007553141957840964,ipw,100,4
σ2net,0.03745906984109532,ipw,100,4
σ2boot,NaN,ipw,100,4
stabilized,false,ipw,100,4
ψ,10.944945660684594,sipw,100,4
σ2,0.007553092985361812,sipw,100,4
σ2net,0.037458836121265396,sipw,100,4
σ2boot,NaN,sipw,100,4
stabilized,true,sipw,100,4
ψ,11.160049591878998,onestep,100,4
σ2,0.00825192801603268,onestep,100,4
σ2net,0.04227886552474944,onestep,100,4
σ2boot,NaN,onestep,100,4
ψ,11.15984277608666,tmle,100,4
σ2,0.008251928446075293,tmle,100,4
σ2net,0.04227708218053158,tmle,100,4
σ2boot,NaN,tmle,100,4
ψ,10.99620766112758,plugin_iid,100,4
σ2boot,NaN,plugin_iid,100,4
ψ,10.944945504860549,ipw_iid,100,4
σ2,0.007553114681877989,ipw_iid,100,4
σ2net,0.007553114681877991,ipw_iid,100,4
σ2boot,NaN,ipw_iid,100,4
stabilized,false,ipw_iid,100,4
ψ,10.944945509530617,sipw_iid,100,4
σ2,0.007553086245327269,sipw_iid,100,4
σ2net,0.007553086245327266,sipw_iid,100,4
σ2boot,NaN,sipw_iid,100,4
stabilized,true,sipw_iid,100,4
ψ,10.996207686738103,onestep_iid,100,4
σ2,0.00755308191200333,onestep_iid,100,4
σ2net,0.00755308191200333,onestep_iid,100,4
σ2boot,NaN,onestep_iid,100,4
ψ,10.9956463396178,tmle_iid,100,4
σ2,0.007553085978132062,tmle_iid,100,4
σ2net,0.0075530859781320625,tmle_iid,100,4
σ2boot,NaN,tmle_iid,100,4
ψ,1.2712960058145673,ols,100,4
σ2,0.31220132172342707,ols,100,4
σ2net,0.31220132172342707,ols,100,4
ψ,11.550170440673828,plugin,100,5
σ2boot,NaN,plugin,100,5
ψ,11.362645995094915,ipw,100,5
σ2,0.013279229631436544,ipw,100,5
σ2net,0.050139549329010304,ipw,100,5
σ2boot,NaN,ipw,100,5
stabilized,false,ipw,100,5
ψ,11.362646136056146,sipw,100,5
σ2,0.013279222619688476,sipw,100,5
σ2net,0.050139627966048865,sipw,100,5
σ2boot,NaN,sipw,100,5
stabilized,true,sipw,100,5
ψ,11.55016905967694,onestep,100,5
σ2,0.012623770391395246,onestep,100,5
σ2net,0.05035845685961386,onestep,100,5
σ2boot,NaN,onestep,100,5
ψ,11.549898601304422,tmle,100,5
σ2,0.012623771122055141,tmle,100,5
σ2net,0.050370034209624916,tmle,100,5
σ2boot,NaN,tmle,100,5
ψ,11.372180971603079,plugin_iid,100,5
σ2boot,NaN,plugin_iid,100,5
ψ,11.36264576523474,ipw_iid,100,5
σ2,0.013279166518627773,ipw_iid,100,5
σ2net,0.013279166518627782,ipw_iid,100,5
σ2boot,NaN,ipw_iid,100,5
stabilized,false,ipw_iid,100,5
ψ,11.362645952251563,sipw_iid,100,5
σ2,0.013279215692070556,sipw_iid,100,5
σ2net,0.01327921569207056,sipw_iid,100,5
σ2boot,NaN,sipw_iid,100,5
stabilized,true,sipw_iid,100,5
ψ,11.372180726694976,onestep_iid,100,5
σ2,0.013279193143914458,onestep_iid,100,5
σ2net,0.013279193143914458,onestep_iid,100,5
σ2boot,NaN,onestep_iid,100,5
ψ,11.372181060369142,tmle_iid,100,5
σ2,0.013279204040144321,tmle_iid,100,5
σ2net,0.013279204040144321,tmle_iid,100,5
σ2boot,NaN,tmle_iid,100,5
ψ,-0.8676428537450048,ols,100,5
σ2,0.37010031986801095,ols,100,5
σ2net,0.37010031986801095,ols,100,5
ψ,11.679063501358032,plugin,100,6
σ2boot,NaN,plugin,100,6
ψ,11.506057196442939,ipw,100,6
σ2,0.013858434455152863,ipw,100,6
σ2net,0.06272889187882615,ipw,100,6
σ2boot,NaN,ipw,100,6
stabilized,false,ipw,100,6
ψ,11.50605714165386,sipw,100,6
σ2,0.01385836013347883,sipw,100,6
σ2net,0.06272858222648937,sipw,100,6
σ2boot,NaN,sipw,100,6
stabilized,true,sipw,100,6
ψ,11.679065062633903,onestep,100,6
σ2,0.015003025378160808,onestep,100,6
σ2net,0.06536606678689236,onestep,100,6
σ2boot,NaN,onestep,100,6
ψ,11.678819837145825,tmle,100,6
σ2,0.01500302597901355,tmle,100,6
σ2net,0.06537552925274873,tmle,100,6
σ2boot,NaN,tmle,100,6
ψ,11.546158390045166,plugin_iid,100,6
σ2boot,NaN,plugin_iid,100,6
ψ,11.50605682324507,ipw_iid,100,6
σ2,0.01385833341473143,ipw_iid,100,6
σ2net,0.01385833341473143,ipw_iid,100,6
σ2boot,NaN,ipw_iid,100,6
stabilized,false,ipw_iid,100,6
ψ,11.506057012819657,sipw_iid,100,6
σ2,0.013858355105139188,sipw_iid,100,6
σ2net,0.01385835510513919,sipw_iid,100,6
σ2boot,NaN,sipw_iid,100,6
stabilized,true,sipw_iid,100,6
ψ,11.546159617674494,onestep_iid,100,6
σ2,0.011533164357691831,onestep_iid,100,6
σ2net,0.01153316435769183,onestep_iid,100,6
σ2boot,NaN,onestep_iid,100,6
ψ,11.546107773275532,tmle_iid,100,6
σ2,0.011533164379622662,tmle_iid,100,6
σ2net,0.011533164379622658,tmle_iid,100,6
σ2boot,NaN,tmle_iid,100,6
ψ,-1.2933580527958055,ols,100,6
σ2,0.5234384316112809,ols,100,6
σ2net,0.5234384316112809,ols,100,6
ψ,11.162474040985108,plugin,100,7
σ2boot,NaN,plugin,100,7
ψ,11.003738710188806,ipw,100,7
σ2,0.004808120530227905,ipw,100,7
σ2net,0.01572873607486207,ipw,100,7
σ2boot,NaN,ipw,100,7
stabilized,false,ipw,100,7
ψ,11.003738727015934,sipw,100,7
σ2,0.004808097443473945,sipw,100,7
σ2net,0.01572860531222594,sipw,100,7
σ2boot,NaN,sipw,100,7
stabilized,true,sipw,100,7
ψ,11.162472462598032,onestep,100,7
σ2,0.005246637249431051,onestep,100,7
σ2net,0.01832326723709892,onestep,100,7
σ2boot,NaN,onestep,100,7
ψ,11.162312386517725,tmle,100,7
σ2,0.005246637507061946,tmle,100,7
σ2net,0.01832434828042541,tmle,100,7
σ2boot,NaN,tmle,100,7
ψ,11.028587217413548,plugin_iid,100,7
σ2boot,NaN,plugin_iid,100,7
ψ,11.003738647699882,ipw_iid,100,7
σ2,0.004808107140749856,ipw_iid,100,7
σ2net,0.0048081071407498595,ipw_iid,100,7
σ2boot,NaN,ipw_iid,100,7
stabilized,false,ipw_iid,100,7
ψ,11.003738662420096,sipw_iid,100,7
σ2,0.0048080965618751675,sipw_iid,100,7
σ2net,0.004808096561875169,sipw_iid,100,7
σ2boot,NaN,sipw_iid,100,7
stabilized,true,sipw_iid,100,7
ψ,11.028587303001622,onestep_iid,100,7
σ2,0.004808097305621759,onestep_iid,100,7
σ2net,0.0048080973056217596,onestep_iid,100,7
σ2boot,NaN,onestep_iid,100,7
ψ,11.028587316793919,tmle_iid,100,7
σ2,0.004808097253118258,tmle_iid,100,7
σ2net,0.004808097253118257,tmle_iid,100,7
σ2boot,NaN,tmle_iid,100,7
