estimate,value,method,samples,i
ψ,11.220895195007325,plugin,100,1
σ2boot,NaN,plugin,100,1
ψ,11.065184169627479,ipw,100,1
σ2,0.010222752681509063,ipw,100,1
σ2net,0.0430566282350955,ipw,100,1
σ2boot,NaN,ipw,100,1
stabilized,false,ipw,100,1
ψ,11.065184221646486,sipw,100,1
σ2,0.010222778097485058,sipw,100,1
σ2net,0.04305672342663728,sipw,100,1
σ2boot,NaN,sipw,100,1
stabilized,true,sipw,100,1
ψ,11.220896300333306,onestep,100,1
σ2,0.010224097092977582,onestep,100,1
σ2net,0.04021442077004624,onestep,100,1
σ2boot,NaN,onestep,100,1
ψ,11.22065426312894,tmle,100,1
σ2,0.010224097679155705,tmle,100,1
σ2net,0.04021019949228457,tmle,100,1
σ2boot,NaN,tmle,100,1
ψ,11.09299144339256,plugin_iid,100,1
σ2boot,NaN,plugin_iid,100,1
ψ,11.06518471009307,ipw_iid,100,1
σ2,0.010222898808541724,ipw_iid,100,1
σ2net,0.010222898808541728,ipw_iid,100,1
σ2boot,NaN,ipw_iid,100,1
stabilized,false,ipw_iid,100,1
ψ,11.065184121930727,sipw_iid,100,1
σ2,0.010222775827783597,sipw_iid,100,1
σ2net,0.010222775827783597,sipw_iid,100,1
σ2boot,NaN,sipw_iid,100,1
stabilized,true,sipw_iid,100,1
ψ,11.092991301275891,onestep_iid,100,1
σ2,0.010222780438893084,onestep_iid,100,1
σ2net,0.010222780438893084,onestep_iid,100,1
σ2boot,NaN,onestep_iid,100,1
ψ,11.09299168097707,tmle_iid,100,1
σ2,0.010222798027093456,tmle_iid,100,1
σ2net,0.010222798027093456,tmle_iid,100,1
σ2boot,NaN,tmle_iid,100,1
ψ,-0.10596328563029524,ols,100,1
σ2,0.2661486924360576,ols,100,1
σ2net,0.2661486924360576,ols,100,1
ψ,11.747354621887206,plugin,100,2
σ2boot,NaN,plugin,100,2
ψ,11.425651637002114,ipw,100,2
σ2,0.00984933757183676,ipw,100,2
σ2net,0.04724105171314989,ipw,100,2
σ2boot,NaN,ipw,100,2
stabilized,false,ipw,100,2
ψ,11.425651573786922,sipw,100,2
σ2,0.009849348115477212,sipw,100,2
σ2net,0.04724144649280628,sipw,100,2
σ2boot,NaN,sipw,100,2
stabilized,true,sipw,100,2
ψ,11.74735589587161,onestep,100,2
σ2,0.012052921302988134,onestep,100,2
σ2net,0.0629757147194024,onestep,100,2
σ2boot,NaN,onestep,100,2
ψ,11.747118771988037,tmle,100,2
σ2,0.012052921866376598,tmle,100,2
σ2net,0.0629922431581578,tmle,100,2
σ2boot,NaN,tmle,100,2
ψ,11.458421807667811,plugin_iid,100,2
σ2boot,NaN,plugin_iid,100,2
ψ,11.425651752078918,ipw_iid,100,2
σ2,0.009849364660299707,ipw_iid,100,2
σ2net,0.00984936466029971,ipw_iid,100,2
σ2boot,NaN,ipw_iid,100,2
stabilized,false,ipw_iid,100,2
ψ,11.42565201238944,sipw_iid,100,2
σ2,0.009849352409931246,sipw_iid,100,2
σ2net,0.009849352409931242,sipw_iid,100,2
σ2boot,NaN,sipw_iid,100,2
stabilized,true,sipw_iid,100,2
ψ,11.458421788036462,onestep_iid,100,2
σ2,0.00984935039770732,onestep_iid,100,2
σ2net,0.009849350397707318,onestep_iid,100,2
σ2boot,NaN,onestep_iid,100,2
ψ,11.458421930229509,tmle_iid,100,2
σ2,0.009849347531391895,tmle_iid,100,2
σ2net,0.009849347531391897,tmle_iid,100,2
σ2boot,NaN,tmle_iid,100,2
ψ,0.14929255866461602,ols,100,2
σ2,0.46070139834448337,ols,100,2
σ2net,0.46070139834448337,ols,100,2
ψ,11.440860567092896,plugin,100,3
σ2boot,NaN,plugin,100,3
ψ,11.287467908944992,ipw,100,3
σ2,0.010277447316259772,ipw,100,3
σ2net,0.03690075284865172,ipw,100,3
σ2boot,NaN,ipw,100,3
stabilized,false,ipw,100,3
ψ,11.287467985878283,sipw,100,3
σ2,0.010277382522428036,sipw,100,3
σ2net,0.036900450598412134,sipw,100,3
σ2boot,NaN,sipw,100,3
stabilized,true,sipw,100,3
ψ,11.440861544737949,onestep,100,3
σ2,0.01010194583268068,onestep,100,3
σ2net,0.0411554991906314,onestep,100,3
σ2boot,NaN,onestep,100,3
ψ,11.440861526267993,tmle,100,3
σ2,0.010101945832722437,tmle,100,3
σ2net,0.041155499649400136,tmle,100,3
σ2boot,NaN,tmle,100,3
ψ,11.326400709152221,plugin_iid,100,3
σ2boot,NaN,plugin_iid,100,3
ψ,11.28746786806217,ipw_iid,100,3
σ2,0.010277443329819827,ipw_iid,100,3
σ2net,0.010277443329819828,ipw_iid,100,3
σ2boot,NaN,ipw_iid,100,3
stabilized,false,ipw_iid,100,3
ψ,11.287467863127693,sipw_iid,100,3
σ2,0.010277377630302566,sipw_iid,100,3
σ2net,0.010277377630302561,sipw_iid,100,3
σ2boot,NaN,sipw_iid,100,3
stabilized,true,sipw_iid,100,3
ψ,11.326401667739193,onestep_iid,100,3
σ2,0.00956873383094175,onestep_iid,100,3
σ2net,0.00956873383094175,onestep_iid,100,3
σ2boot,NaN,onestep_iid,100,3
ψ,11.32662619053526,tmle_iid,100,3
σ2,0.009568734335228,tmle_iid,100,3
σ2net,0.009568734335228002,tmle_iid,100,3
σ2boot,NaN,tmle_iid,100,3
ψ,-0.8958749883799286,ols,100,3
σ2,0.3114154223649235,ols,100,3
σ2net,0.3114154223649235,ols,100,3
ψ,11.160048923492432,plugin,100,4
σ2boot,NaN,plugin,100,4
ψ,10.944945341498391,ipw,100,4
σ2,0.007553063477512972,ipw,100,4
σ2net,0.03745874836786255,ipw,100,4
σ2boot,NaN,ipw,100,4
stabilized,false,ipw,100,4
ψ,10.94494566455036,sipw,100,4
σ2,0.007553092525943161,sipw,100,4
σ2net,0.037458836494236314,sipw,100,4
σ2boot,NaN,sipw,100,4
stabilized,true,sipw,100,4
ψ,11.160049591895868,onestep,100,4
σ2,0.00825192801632304,onestep,100,4
σ2net,0.04227886552497485,onestep,100,4
σ2boot,NaN,onestep,100,4
ψ,11.159842775393413,tmle,100,4
σ2,0.008251928444358882,tmle,100,4
σ2net,0.042277082165809284,tmle,100,4
σ2boot,NaN,tmle,100,4
ψ,10.99620766112758,plugin_iid,100,4
σ2boot,NaN,plugin_iid,100,4
ψ,10.944945535991726,ipw_iid,100,4
σ2,0.0075531262091878,ipw_iid,100,4
σ2net,0.0075531262091878,ipw_iid,100,4
σ2boot,NaN,ipw_iid,100,4
stabilized,false,ipw_iid,100,4
ψ,10.944945520519331,sipw_iid,100,4
σ2,0.007553084258840768,sipw_iid,100,4
σ2net,0.007553084258840766,sipw_iid,100,4
σ2boot,NaN,sipw_iid,100,4
stabilized,true,sipw_iid,100,4
ψ,10.996207665237991,onestep_iid,100,4
σ2,0.007553081640279997,onestep_iid,100,4
σ2net,0.007553081640279997,onestep_iid,100,4
σ2boot,NaN,onestep_iid,100,4
ψ,10.995646227062462,tmle_iid,100,4
σ2,0.007553084232388728,tmle_iid,100,4
σ2net,0.007553084232388731,tmle_iid,100,4
σ2boot,NaN,tmle_iid,100,4
ψ,1.2712960058145673,ols,100,4
σ2,0.31220132172342707,ols,100,4
σ2net,0.31220132172342707,ols,100,4
ψ,11.550170440673828,plugin,100,5
σ2boot,NaN,plugin,100,5
ψ,11.362646192830157,ipw,100,5
σ2,0.013279289431700793,ipw,100,5
σ2net,0.050139690172312366,ipw,100,5
σ2boot,NaN,ipw,100,5
stabilized,false,ipw,100,5
ψ,11.362646220522457,sipw,100,5
σ2,0.013279228460055274,sipw,100,5
σ2net,0.0501396244166116,sipw,100,5
σ2boot,NaN,sipw,100,5
stabilized,true,sipw,100,5
ψ,11.550169059721052,onestep,100,5
σ2,0.012623770392400065,onestep,100,5
σ2net,0.050358456853578086,onestep,100,5
σ2boot,NaN,onestep,100,5
ψ,11.549898601280283,tmle,100,5
σ2,0.012623771122601199,tmle,100,5
σ2net,0.050370034207592285,tmle,100,5
σ2boot,NaN,tmle,100,5
ψ,11.372180971603079,plugin_iid,100,5
σ2boot,NaN,plugin_iid,100,5
ψ,11.362645965775041,ipw_iid,100,5
σ2,0.013279229417225955,ipw_iid,100,5
σ2net,0.013279229417225957,ipw_iid,100,5
σ2boot,NaN,ipw_iid,100,5
stabilized,false,ipw_iid,100,5
ψ,11.362645788787127,sipw_iid,100,5
σ2,0.013279201262938679,sipw_iid,100,5
σ2net,0.013279201262938673,sipw_iid,100,5
σ2boot,NaN,sipw_iid,100,5
stabilized,true,sipw_iid,100,5
ψ,11.372180771129177,onestep_iid,100,5
σ2,0.013279195649431166,onestep_iid,100,5
σ2net,0.013279195649431162,onestep_iid,100,5
σ2boot,NaN,onestep_iid,100,5
ψ,11.372181215711334,tmle_iid,100,5
σ2,0.013279213807799619,tmle_iid,100,5
σ2net,0.013279213807799622,tmle_iid,100,5
σ2boot,NaN,tmle_iid,100,5
ψ,-0.8676428537450048,ols,100,5
σ2,0.37010031986801095,ols,100,5
σ2net,0.37010031986801095,ols,100,5
ψ,11.679063501358032,plugin,100,6
σ2boot,NaN,plugin,100,6
ψ,11.506067483656425,ipw,100,6
σ2,0.013861169730356821,ipw,100,6
σ2net,0.0627453646658707,ipw,100,6
σ2boot,NaN,ipw,100,6
stabilized,false,ipw,100,6
ψ,11.506064819617265,sipw,100,6
σ2,0.01385866020123404,sipw,100,6
σ2net,0.06273090281724891,sipw,100,6
σ2boot,NaN,sipw,100,6
stabilized,true,sipw,100,6
ψ,11.67906506589507,onestep,100,6
σ2,0.015003025267504966,onestep,100,6
σ2net,0.06536606665964546,onestep,100,6
σ2boot,NaN,onestep,100,6
ψ,11.678819845721874,tmle,100,6
σ2,0.015003025986819369,tmle,100,6
σ2net,0.06537552905463234,tmle,100,6
σ2boot,NaN,tmle,100,6
ψ,11.546158390045166,plugin_iid,100,6
σ2boot,NaN,plugin_iid,100,6
ψ,11.506063259500841,ipw_iid,100,6
σ2,0.01385982402559257,ipw_iid,100,6
σ2net,0.01385982402559257,ipw_iid,100,6
σ2boot,NaN,ipw_iid,100,6
stabilized,false,ipw_iid,100,6
ψ,11.506057574030413,sipw_iid,100,6
σ2,0.013858379491980207,sipw_iid,100,6
σ2net,0.013858379491980205,sipw_iid,100,6
σ2boot,NaN,sipw_iid,100,6
stabilized,true,sipw_iid,100,6
ψ,11.546159619349558,onestep_iid,100,6
σ2,0.01153316440145246,onestep_iid,100,6
σ2net,0.011533164401452457,onestep_iid,100,6
σ2boot,NaN,onestep_iid,100,6
ψ,11.546107781420035,tmle_iid,100,6
σ2,0.011533164346097557,tmle_iid,100,6
σ2net,0.01153316434609756,tmle_iid,100,6
σ2boot,NaN,tmle_iid,100,6
ψ,-1.2933580527958055,ols,100,6
σ2,0.5234384316112809,ols,100,6
σ2net,0.5234384316112809,ols,100,6
ψ,11.162474040985108,plugin,100,7
σ2boot,NaN,plugin,100,7
ψ,11.003738725444665,ipw,100,7
σ2,0.0048081258119546215,ipw,100,7
σ2net,0.015728698526621693,ipw,100,7
σ2boot,NaN,ipw,100,7
stabilized,false,ipw,100,7
ψ,11.0037387341844,sipw,100,7
σ2,0.004808098064506748,sipw,100,7
σ2net,0.0157286050301858,sipw,100,7
σ2boot,NaN,sipw,100,7
stabilized,true,sipw,100,7
ψ,11.162472462577307,onestep,100,7
σ2,0.005246637249268969,onestep,100,7
σ2net,0.01832326723655364,onestep,100,7
σ2boot,NaN,onestep,100,7
ψ,11.162312386606388,tmle,100,7
σ2,0.005246637506321522,tmle,100,7
σ2net,0.018324348276866208,tmle,100,7
σ2boot,NaN,tmle,100,7
ψ,11.028587217413548,plugin_iid,100,7
σ2boot,NaN,plugin_iid,100,7
ψ,11.003738667129761,ipw_iid,100,7
σ2,0.004808111382650327,ipw_iid,100,7
σ2net,0.004808111382650326,ipw_iid,100,7
σ2boot,NaN,ipw_iid,100,7
stabilized,false,ipw_iid,100,7
ψ,11.003738708229822,sipw_iid,100,7
σ2,0.004808096724944475,sipw_iid,100,7
σ2net,0.0048080967249444755,sipw_iid,100,7
σ2boot,NaN,sipw_iid,100,7
stabilized,true,sipw_iid,100,7
ψ,11.028587290331641,onestep_iid,100,7
σ2,0.004808097154933947,onestep_iid,100,7
σ2net,0.004808097154933948,onestep_iid,100,7
σ2boot,NaN,onestep_iid,100,7
ψ,11.028587294318081,tmle_iid,100,7
σ2,0.0048080966548940925,tmle_iid,100,7
σ2net,0.0048080966548940925,tmle_iid,100,7
σ2boot,NaN,tmle_iid,100,7
