estimate,value,method,samples,i
ψ,11.220895195007325,plugin,100,1
σ2boot,NaN,plugin,100,1
ψ,11.065184371707742,ipw,100,1
σ2,0.010222808963846893,ipw,100,1
σ2net,0.04305690312746945,ipw,100,1
σ2boot,NaN,ipw,100,1
stabilized,false,ipw,100,1
ψ,11.06518409201464,sipw,100,1
σ2,0.010222776202853294,sipw,100,1
σ2net,0.04305672975621577,sipw,100,1
σ2boot,NaN,sipw,100,1
stabilized,true,sipw,100,1
ψ,11.22089630034822,onestep,100,1
σ2,0.010224097091643925,onestep,100,1
σ2net,0.04021442077421959,onestep,100,1
σ2boot,NaN,onestep,100,1
ψ,11.220654263023357,tmle,100,1
σ2,0.01022409767842719,tmle,100,1
σ2net,0.0402101994906635,tmle,100,1
σ2boot,NaN,tmle,100,1
ψ,11.09299144339256,plugin_iid,100,1
σ2boot,NaN,plugin_iid,100,1
ψ,11.0651842317409,ipw_iid,100,1
σ2,0.010222773109788438,ipw_iid,100,1
σ2net,0.010222773109788436,ipw_iid,100,1
σ2boot,NaN,ipw_iid,100,1
stabilized,false,ipw_iid,100,1
ψ,11.065184513515348,sipw_iid,100,1
σ2,0.010222804642902265,sipw_iid,100,1
σ2net,0.010222804642902268,sipw_iid,100,1
σ2boot,NaN,sipw_iid,100,1
stabilized,true,sipw_iid,100,1
ψ,11.09299163975797,onestep_iid,100,1
σ2,0.010222798808682933,onestep_iid,100,1
σ2net,0.010222798808682931,onestep_iid,100,1
σ2boot,NaN,onestep_iid,100,1
ψ,11.092991537735786,tmle_iid,100,1
σ2,0.0102227960786073,tmle_iid,100,1
σ2net,0.010222796078607304,tmle_iid,100,1
σ2boot,NaN,tmle_iid,100,1
ψ,-0.10596328563029524,ols,100,1
σ2,0.2661486924360576,ols,100,1
σ2net,0.2661486924360576,ols,100,1
ψ,11.747354621887206,plugin,100,2
σ2boot,NaN,plugin,100,2
ψ,11.425651622970493,ipw,100,2
σ2,0.009849334463599166,ipw,100,2
σ2net,0.0472410417057818,ipw,100,2
σ2boot,NaN,ipw,100,2
stabilized,false,ipw,100,2
ψ,11.425651665737012,sipw,100,2
σ2,0.009849348441001425,sipw,100,2
σ2net,0.047241456005143345,sipw,100,2
σ2boot,NaN,sipw,100,2
stabilized,true,sipw,100,2
ψ,11.747355895830308,onestep,100,2
σ2,0.012052921302791269,onestep,100,2
σ2net,0.06297571471908367,onestep,100,2
σ2boot,NaN,onestep,100,2
ψ,11.747118771942649,tmle,100,2
σ2,0.012052921864851856,tmle,100,2
σ2net,0.06299224313908196,tmle,100,2
σ2boot,NaN,tmle,100,2
ψ,11.458421807667811,plugin_iid,100,2
σ2boot,NaN,plugin_iid,100,2
ψ,11.425652084545634,ipw_iid,100,2
σ2,0.00984944386411941,ipw_iid,100,2
σ2net,0.009849443864119406,ipw_iid,100,2
σ2boot,NaN,ipw_iid,100,2
stabilized,false,ipw_iid,100,2
ψ,11.425651632834686,sipw_iid,100,2
σ2,0.009849348103711632,sipw_iid,100,2
σ2net,0.009849348103711632,sipw_iid,100,2
σ2boot,NaN,sipw_iid,100,2
stabilized,true,sipw_iid,100,2
ψ,11.458421836902739,onestep_iid,100,2
σ2,0.009849348332751764,onestep_iid,100,2
σ2net,0.009849348332751766,onestep_iid,100,2
σ2boot,NaN,onestep_iid,100,2
ψ,11.45842183769472,tmle_iid,100,2
σ2,0.009849348958205908,tmle_iid,100,2
σ2net,0.009849348958205908,tmle_iid,100,2
σ2boot,NaN,tmle_iid,100,2
ψ,0.14929255866461602,ols,100,2
σ2,0.46070139834448337,ols,100,2
σ2net,0.46070139834448337,ols,100,2
ψ,11.440860567092896,plugin,100,3
σ2boot,NaN,plugin,100,3
ψ,11.287468008783021,ipw,100,3
σ2,0.010277473761281953,ipw,100,3
σ2net,0.03690069740333369,ipw,100,3
σ2boot,NaN,ipw,100,3
stabilized,false,ipw,100,3
ψ,11.28746788835275,sipw,100,3
σ2,0.01027738031476908,sipw,100,3
σ2net,0.036900435926609194,sipw,100,3
σ2boot,NaN,sipw,100,3
stabilized,true,sipw,100,3
ψ,11.440861544739203,onestep,100,3
σ2,0.010101945832386923,onestep,100,3
σ2net,0.041155499191115635,onestep,100,3
σ2boot,NaN,onestep,100,3
ψ,11.440861525999928,tmle,100,3
σ2,0.010101945832611954,tmle,100,3
σ2net,0.04115549965478891,tmle,100,3
σ2boot,NaN,tmle,100,3
ψ,11.326400709152221,plugin_iid,100,3
σ2boot,NaN,plugin_iid,100,3
ψ,11.287467749496388,ipw_iid,100,3
σ2,0.010277404085448737,ipw_iid,100,3
σ2net,0.010277404085448737,ipw_iid,100,3
σ2boot,NaN,ipw_iid,100,3
stabilized,false,ipw_iid,100,3
ψ,11.28746772045129,sipw_iid,100,3
σ2,0.010277375746705298,sipw_iid,100,3
σ2net,0.0102773757467053,sipw_iid,100,3
σ2boot,NaN,sipw_iid,100,3
stabilized,true,sipw_iid,100,3
ψ,11.326401667673416,onestep_iid,100,3
σ2,0.009568733829145724,onestep_iid,100,3
σ2net,0.009568733829145722,onestep_iid,100,3
σ2boot,NaN,onestep_iid,100,3
ψ,11.326626190990373,tmle_iid,100,3
σ2,0.009568734334715404,tmle_iid,100,3
σ2net,0.009568734334715404,tmle_iid,100,3
σ2boot,NaN,tmle_iid,100,3
ψ,-0.8958749883799286,ols,100,3
σ2,0.3114154223649235,ols,100,3
σ2net,0.3114154223649235,ols,100,3
ψ,11.160048923492432,plugin,100,4
σ2boot,NaN,plugin,100,4
ψ,10.944945668561655,ipw,100,4
σ2,0.007553153840973185,ipw,100,4
σ2net,0.03745912449280671,ipw,100,4
σ2boot,NaN,ipw,100,4
stabilized,false,ipw,100,4
ψ,10.944945590708608,sipw,100,4
σ2,0.00755308753370445,sipw,100,4
σ2net,0.03745881411884663,sipw,100,4
σ2boot,NaN,sipw,100,4
stabilized,true,sipw,100,4
ψ,11.160049591907871,onestep,100,4
σ2,0.008251928018369055,onestep,100,4
σ2net,0.04227886553757038,onestep,100,4
σ2boot,NaN,onestep,100,4
ψ,11.159842775340183,tmle,100,4
σ2,0.008251928444013328,tmle,100,4
σ2net,0.04227708216298154,tmle,100,4
σ2boot,NaN,tmle,100,4
ψ,10.99620766112758,plugin_iid,100,4
σ2boot,NaN,plugin_iid,100,4
ψ,10.944945503683293,ipw_iid,100,4
σ2,0.007553114051148026,ipw_iid,100,4
σ2net,0.007553114051148025,ipw_iid,100,4
σ2boot,NaN,ipw_iid,100,4
stabilized,false,ipw_iid,100,4
ψ,10.944945513563882,sipw_iid,100,4
σ2,0.007553084577386781,sipw_iid,100,4
σ2net,0.007553084577386778,sipw_iid,100,4
σ2boot,NaN,sipw_iid,100,4
stabilized,true,sipw_iid,100,4
ψ,10.996207645275273,onestep_iid,100,4
σ2,0.0075530817903758886,onestep_iid,100,4
σ2net,0.007553081790375888,onestep_iid,100,4
σ2boot,NaN,onestep_iid,100,4
ψ,10.995646223055665,tmle_iid,100,4
σ2,0.007553081722760564,tmle_iid,100,4
σ2net,0.007553081722760561,tmle_iid,100,4
σ2boot,NaN,tmle_iid,100,4
ψ,1.2712960058145673,ols,100,4
σ2,0.31220132172342707,ols,100,4
σ2net,0.31220132172342707,ols,100,4
ψ,11.550170440673828,plugin,100,5
σ2boot,NaN,plugin,100,5
ψ,11.362646106255713,ipw,100,5
σ2,0.013279263521478523,ipw,100,5
σ2net,0.050139735436761854,ipw,100,5
σ2boot,NaN,ipw,100,5
stabilized,false,ipw,100,5
ψ,11.362646144536784,sipw,100,5
σ2,0.013279223720558064,sipw,100,5
σ2net,0.05013961534286845,sipw,100,5
σ2boot,NaN,sipw,100,5
stabilized,true,sipw,100,5
ψ,11.550169059645114,onestep,100,5
σ2,0.01262377039148015,onestep,100,5
σ2net,0.05035845685043907,onestep,100,5
σ2boot,NaN,onestep,100,5
ψ,11.549898601286495,tmle,100,5
σ2,0.012623771123407217,tmle,100,5
σ2net,0.05037003420694986,tmle,100,5
σ2boot,NaN,tmle,100,5
ψ,11.372180971603079,plugin_iid,100,5
σ2boot,NaN,plugin_iid,100,5
ψ,11.362645766688015,ipw_iid,100,5
σ2,0.013279162258579556,ipw_iid,100,5
σ2net,0.013279162258579549,ipw_iid,100,5
σ2boot,NaN,ipw_iid,100,5
stabilized,false,ipw_iid,100,5
ψ,11.362645792160105,sipw_iid,100,5
σ2,0.013279199776846088,sipw_iid,100,5
σ2net,0.013279199776846088,sipw_iid,100,5
σ2boot,NaN,sipw_iid,100,5
stabilized,true,sipw_iid,100,5
ψ,11.37218094056726,onestep_iid,100,5
σ2,0.013279206909293455,onestep_iid,100,5
σ2net,0.013279206909293458,onestep_iid,100,5
σ2boot,NaN,onestep_iid,100,5
ψ,11.372181202749044,tmle_iid,100,5
σ2,0.013279204942371893,tmle_iid,100,5
σ2net,0.01327920494237189,tmle_iid,100,5
σ2boot,NaN,tmle_iid,100,5
ψ,-0.8676428537450048,ols,100,5
σ2,0.37010031986801095,ols,100,5
σ2net,0.37010031986801095,ols,100,5
ψ,11.679063501358032,plugin,100,6
σ2boot,NaN,plugin,100,6
ψ,11.506057416830599,ipw,100,6
σ2,0.013858497565827564,ipw,100,6
σ2net,0.06272915237321364,ipw,100,6
σ2boot,NaN,ipw,100,6
stabilized,false,ipw,100,6
ψ,11.506057332608576,sipw,100,6
σ2,0.013858371852441976,sipw,100,6
σ2net,0.06272862949909176,sipw,100,6
σ2boot,NaN,sipw,100,6
stabilized,true,sipw,100,6
ψ,11.679065062610345,onestep,100,6
σ2,0.01500302537750634,onestep,100,6
σ2net,0.06536606678401372,onestep,100,6
σ2boot,NaN,onestep,100,6
ψ,11.678819837853311,tmle,100,6
σ2,0.015003025978717839,tmle,100,6
σ2net,0.0653755292285617,tmle,100,6
σ2boot,NaN,tmle,100,6
ψ,11.546158390045166,plugin_iid,100,6
σ2boot,NaN,plugin_iid,100,6
ψ,11.506056881167295,ipw_iid,100,6
σ2,0.013858351088325773,ipw_iid,100,6
σ2net,0.01385835108832577,ipw_iid,100,6
σ2boot,NaN,ipw_iid,100,6
stabilized,false,ipw_iid,100,6
ψ,11.506056916239508,sipw_iid,100,6
σ2,0.013858354611943312,sipw_iid,100,6
σ2net,0.013858354611943315,sipw_iid,100,6
σ2boot,NaN,sipw_iid,100,6
stabilized,true,sipw_iid,100,6
ψ,11.54615961765124,onestep_iid,100,6
σ2,0.01153316435784819,onestep_iid,100,6
σ2net,0.011533164357848189,onestep_iid,100,6
σ2boot,NaN,onestep_iid,100,6
ψ,11.546107772889203,tmle_iid,100,6
σ2,0.011533164384215498,tmle_iid,100,6
σ2net,0.011533164384215498,tmle_iid,100,6
σ2boot,NaN,tmle_iid,100,6
ψ,-1.2933580527958055,ols,100,6
σ2,0.5234384316112809,ols,100,6
σ2net,0.5234384316112809,ols,100,6
ψ,11.162474040985108,plugin,100,7
σ2boot,NaN,plugin,100,7
ψ,11.003738684742865,ipw,100,7
σ2,0.004808116510145835,ipw,100,7
σ2net,0.015728692277672422,ipw,100,7
σ2boot,NaN,ipw,100,7
stabilized,false,ipw,100,7
ψ,11.003738719459152,sipw,100,7
σ2,0.004808095975361542,sipw,100,7
σ2net,0.015728612111560077,sipw,100,7
σ2boot,NaN,sipw,100,7
stabilized,true,sipw,100,7
ψ,11.16247246256945,onestep,100,7
σ2,0.005246637249791797,onestep,100,7
σ2net,0.018323267236442908,onestep,100,7
σ2boot,NaN,onestep,100,7
ψ,11.162312386613168,tmle,100,7
σ2,0.005246637506001714,tmle,100,7
σ2net,0.01832434827913468,tmle,100,7
σ2boot,NaN,tmle,100,7
ψ,11.028587217413548,plugin_iid,100,7
σ2boot,NaN,plugin_iid,100,7
ψ,11.003738630630338,ipw_iid,100,7
σ2,0.004808103953636575,ipw_iid,100,7
σ2net,0.004808103953636575,ipw_iid,100,7
σ2boot,NaN,ipw_iid,100,7
stabilized,false,ipw_iid,100,7
ψ,11.003738617679256,sipw_iid,100,7
σ2,0.004808096919268443,sipw_iid,100,7
σ2net,0.004808096919268442,sipw_iid,100,7
σ2boot,NaN,sipw_iid,100,7
stabilized,true,sipw_iid,100,7
ψ,11.028587314335407,onestep_iid,100,7
σ2,0.004808096893787422,onestep_iid,100,7
σ2net,0.004808096893787424,onestep_iid,100,7
σ2boot,NaN,onestep_iid,100,7
ψ,11.028587304746159,tmle_iid,100,7
σ2,0.004808096988316671,tmle_iid,100,7
σ2net,0.00480809698831667,tmle_iid,100,7
σ2boot,NaN,tmle_iid,100,7
