estimate,value,method,samples,i
ψ,0.08688517334404958,plugin,100,1
σ2boot,NaN,plugin,100,1
ψ,0.09320700746392147,ipw,100,1
σ2,0.001036529220010833,ipw,100,1
σ2net,0.0030189255162549502,ipw,100,1
σ2boot,NaN,ipw,100,1
stabilized,false,ipw,100,1
ψ,0.0971740457045428,sipw,100,1
σ2,0.0008587339790056928,sipw,100,1
σ2net,0.002317114422149325,sipw,100,1
σ2boot,NaN,sipw,100,1
stabilized,true,sipw,100,1
ψ,0.08710897126825184,onestep,100,1
σ2,0.000717378224094999,onestep,100,1
σ2net,0.0025934136989629176,onestep,100,1
σ2boot,NaN,onestep,100,1
ψ,0.08543762982841528,tmle,100,1
σ2,0.000717406157917084,tmle,100,1
σ2net,0.0025995793699760176,tmle,100,1
σ2boot,NaN,tmle,100,1
ψ,-1.0322233479930221e-5,plugin_iid,100,1
σ2boot,NaN,plugin_iid,100,1
ψ,0.004046296686888376,ipw_iid,100,1
σ2,0.0007070752089995194,ipw_iid,100,1
σ2net,0.0007070752089995197,ipw_iid,100,1
σ2boot,NaN,ipw_iid,100,1
stabilized,false,ipw_iid,100,1
ψ,0.004071235403694823,sipw_iid,100,1
σ2,0.0007139940295192064,sipw_iid,100,1
σ2net,0.0007139940295192063,sipw_iid,100,1
σ2boot,NaN,sipw_iid,100,1
stabilized,true,sipw_iid,100,1
ψ,-0.000506792165090189,onestep_iid,100,1
σ2,0.0006916626388171561,onestep_iid,100,1
σ2net,0.0006916626388171562,onestep_iid,100,1
σ2boot,NaN,onestep_iid,100,1
ψ,-0.0005068055057876359,tmle_iid,100,1
σ2,0.0006916626388171579,tmle_iid,100,1
σ2net,0.0006916626388171579,tmle_iid,100,1
σ2boot,NaN,tmle_iid,100,1
ψ,0.4318268570237471,ols,100,1
σ2,0.012909176968477043,ols,100,1
σ2net,0.012909176968477043,ols,100,1
ψ,0.012446045031836526,plugin,100,2
σ2boot,NaN,plugin,100,2
ψ,0.038060409515110014,ipw,100,2
σ2,0.0009417301607705296,ipw,100,2
σ2net,0.002667133798400692,ipw,100,2
σ2boot,NaN,ipw,100,2
stabilized,false,ipw,100,2
ψ,0.042831345014866906,sipw,100,2
σ2,0.0010558312140376716,sipw,100,2
σ2net,0.002892787973730436,sipw,100,2
σ2boot,NaN,sipw,100,2
stabilized,true,sipw,100,2
ψ,0.014795987871512171,onestep,100,2
σ2,0.0006456524872744365,onestep,100,2
σ2net,0.002699612931948422,onestep,100,2
σ2boot,NaN,onestep,100,2
ψ,0.014908290163830164,tmle,100,2
σ2,0.0006456526133924851,tmle,100,2
σ2net,0.0026999588560383003,tmle,100,2
σ2boot,NaN,tmle,100,2
ψ,-0.05367397895864128,plugin_iid,100,2
σ2boot,NaN,plugin_iid,100,2
ψ,-0.04626286876129626,ipw_iid,100,2
σ2,0.000683594111617138,ipw_iid,100,2
σ2net,0.0006835941116171379,ipw_iid,100,2
σ2boot,NaN,ipw_iid,100,2
stabilized,false,ipw_iid,100,2
ψ,-0.04764980820210186,sipw_iid,100,2
σ2,0.0007520276311264421,sipw_iid,100,2
σ2net,0.0007520276311264421,sipw_iid,100,2
σ2boot,NaN,sipw_iid,100,2
stabilized,true,sipw_iid,100,2
ψ,-0.05332548123844281,onestep_iid,100,2
σ2,0.0006796965671571308,onestep_iid,100,2
σ2net,0.000679696567157131,onestep_iid,100,2
σ2boot,NaN,onestep_iid,100,2
ψ,-0.05331710996128165,tmle_iid,100,2
σ2,0.0006796965678579136,tmle_iid,100,2
σ2net,0.0006796965678579136,tmle_iid,100,2
σ2boot,NaN,tmle_iid,100,2
ψ,0.5330594999406777,ols,100,2
σ2,0.01290244532962252,ols,100,2
σ2net,0.01290244532962252,ols,100,2
ψ,0.07195435319591155,plugin,100,3
σ2boot,NaN,plugin,100,3
ψ,0.02737978889961124,ipw,100,3
σ2,0.00047143856992394546,ipw,100,3
σ2net,0.0011940310239535365,ipw,100,3
σ2boot,NaN,ipw,100,3
stabilized,false,ipw,100,3
ψ,0.030204374765908516,sipw,100,3
σ2,0.0005302619437633724,sipw,100,3
σ2net,0.0013041886930454916,sipw,100,3
σ2boot,NaN,sipw,100,3
stabilized,true,sipw,100,3
ψ,0.07082883151807112,onestep,100,3
σ2,0.00044910241965805396,onestep,100,3
σ2net,0.0011501523464731737,onestep,100,3
σ2boot,NaN,onestep,100,3
ψ,0.07018898071081177,tmle,100,3
σ2,0.0004491065137486094,tmle,100,3
σ2net,0.0011554006625902281,tmle,100,3
σ2boot,NaN,tmle,100,3
ψ,-0.012920804179196482,plugin_iid,100,3
σ2boot,NaN,plugin_iid,100,3
ψ,-0.01862020112659286,ipw_iid,100,3
σ2,0.0004259042419229684,ipw_iid,100,3
σ2net,0.0004259042419229684,ipw_iid,100,3
σ2boot,NaN,ipw_iid,100,3
stabilized,false,ipw_iid,100,3
