samples,method,bias,pct_bias,variance,scaled_bias,ci_bias,ci_pct_bias,ci_scaled_bias,coverage,scaled_mse,ci_scaled_mse
100,plugin,-0.33830541771444506,-0.0304052911456253,,-3.3830541771444453,2.199009536516513,0.1976365783365232,21.99009536516512,,,0
100,ipw,-0.25206633993408706,-0.02265453064714795,2.559897768971234,-2.5206633993408767,2.459707126833269,0.22106684495210108,24.597071268332673,0.958,262.3435208699001,31.82276512143932
100,onestep,-0.23057432946423037,-0.020722930378799895,0.667893047965047,-2.305743294642305,2.201887263903286,0.1978952148656799,22.018872639032853,0.82,72.10575693729264,16.683520989662732
100,tmle,-0.23633232849810465,-0.021240432103200143,0.667893047965047,-2.3633232849810484,2.202515498555449,0.1979516776253833,22.025154985554476,0.824,72.3746017458383,16.71459413247586
100,plugin_iid,-1.7709956971708216,-0.1591687184731401,,-17.709956971708248,2.2519642995472897,0.20239590202213276,22.519642995472903,,,0
100,ipw_iid,-1.8075677623277622,-0.1624556427453136,0.3533245764865812,-18.07567762327759,2.197866758999685,0.19753387089734437,21.978667589996867,0.31,362.06257918931743,37.38475702306794
100,onestep_iid,-1.7146072645831956,-0.15410079280509933,0.333749010453794,-17.146072645831953,2.2288202045041774,0.200315820204815,22.288202045041764,0.334,327.36270822152625,35.54817785681238
100,tmle_iid,-1.7136017373815375,-0.15401042077521024,0.333749010453794,-17.136017373815378,2.227545180746422,0.20020122709887536,22.275451807464226,0.334,327.01799248108176,35.52945665898011
100,ols,-1.6525632555486507,-0.14852457067043198,0.11642109225458418,-16.52563255548651,2.2477082454341004,0.20201338800471816,22.477082454341012,0.166,284.73864058441393,33.15323755942285
900,plugin,-0.047248103304831486,-0.004246436095429523,,-1.4174430991449447,0.76291267048961,0.06856698311731657,22.887380114688288,,,0
900,ipw,-1.2044036197605639,-0.10824610188943273,0.2642546829330583,-36.13210859281685,0.7813268324782124,0.07022196091888039,23.43980497434639,0.324,1543.3584860028666,77.18557592933612
900,onestep,-0.040831898594803476,-0.003669777957418263,0.10839526352343208,-1.2249569578441044,0.7616307025204565,0.06845176589849457,22.848921075613696,0.902,99.05625671965956,19.554364127455294
900,tmle,-0.040593130494562105,-0.003648318609669198,0.10839526352343208,-1.2177939148368624,0.7615693552162615,0.06844625229289626,22.84708065648784,0.9,99.03875919010257,19.55263698680495
900,plugin_iid,-1.7264972520333473,-0.15516940865104722,,-51.794917561000396,0.7957158860905086,0.07151518101375083,23.87147658271526,,,0
900,ipw_iid,-1.7597321879952181,-0.15815640753198093,0.042097734601636475,-52.7919656398565,0.8034774410159422,0.07221275286715156,24.104323230478265,0.002,2824.879597261267,104.42457416211712
900,onestep_iid,-1.6831199200313933,-0.15127085917598945,0.03914748318657988,-50.49359760094178,0.7980921653069206,0.07172874975263312,23.94276495920763,0.0,2584.8361335537575,99.88936446314517
900,tmle_iid,-1.683443146728154,-0.15129990926300088,0.03914748318657988,-50.50329440184463,0.7980461725310415,0.07172461613943043,23.941385175931245,0.0,2585.8154803073126,99.9082857903309
900,ols,-1.6263631995328476,-0.14616983353209664,0.0387260052375647,-48.79089598598537,0.8097193076719025,0.07277374232528322,24.291579230157065,0.0,2415.404935829057,96.56010217979693
2500,plugin,-0.027686808764080494,-0.0024883594447065024,,-1.384340438204025,0.44428114940728614,0.03992988876590725,22.214057470364303,,,0
2500,ipw,-0.5528390713199746,-0.04968656143233621,0.1517897558010797,-27.641953565998733,0.7890486161300836,0.07091595831828602,39.452430806504154,0.664,1143.551986447529,66.4401643781917
2500,onestep,-0.026466093306559878,-0.0023786473119755706,0.040041579375817184,-1.323304665327994,0.4440781149121335,0.03991164098560443,22.203905745606683,0.928,101.85508367682179,19.828693368895667
2500,tmle,-0.026555432165101936,-0.002386676666110485,0.040041579375817184,-1.3277716082550968,0.44403458609215035,0.03990772882110598,22.201729304607518,0.928,101.86692588323129,19.829846029354066
2500,plugin_iid,-1.7054270070414954,-0.15327571466939274,,-85.27135035207472,0.4566626036500268,0.04104267532309606,22.833130182501332,,,0
2500,ipw_iid,-1.5446180515991756,-0.13882296619707982,0.018913962223941934,-77.2309025799587,0.4719318536398777,0.04241500330605678,23.59659268199388,0.0,6011.8972188749385,152.3380932861927
2500,onestep_iid,-1.6096403245477215,-0.1446668606085481,0.014877951772565704,-80.48201622738624,0.4634479512200089,0.041652510275735535,23.172397561000444,0.0,6514.54981545665,158.57873409568398
2500,tmle_iid,-1.6123850523796628,-0.14491354376665275,0.014877951772565704,-80.61925261898307,0.46314762969508694,0.04162551879725362,23.157381484754342,0.0,6536.6587722748345,158.8475969382883
2500,ols,-1.6168408087954318,-0.14531400608265907,0.023251907390788005,-80.84204043977158,0.4623006245664661,0.04154939398166084,23.1150312283233,0.0,6593.565270942635,159.53754207981237
